nome_politica;tipo_politica;ano;grande_area;area;subareas;orgaos;publico_alvo;publico_alvo_categ;publico_alvo_legislacao;medida_provisoria;medida_provisoria_inicio_vigencia;instrumento_legal;legislacao;vigencia_inicio;vigencia_fim;objetivos;observacoes;acao_orcamentaria_assoc
Política Nacional de Pagamento por Serviços Ambientais;Política Nacional;2021;Meio Ambiente;Meio Ambiente ;Gestão Ambiental;"Ministério da Economia; Ministério do Meio Ambiente; Ministério da Agricultura, Pecuária e Abastecimento; Ministério de Minas e Energia; Advocacia Geral da União";Populações e setores econômicos diretamente afetados por alterações no meio ambiente;Setores sociais e econônicos diretamente afetados por transformações no meio ambiente;Sem especificação;Não se aplica;Não se aplica;Lei Ordinária;14119/2021;13 de janeiro de 2021;Não encontrado;"Art. 4º Fica instituída a Política Nacional de Pagamento por Serviços Ambientais (PNPSA), cujos objetivos são:

I - orientar a atuação do poder público, das organizações da sociedade civil e dos agentes privados em relação ao pagamento por serviços ambientais, de forma a manter, recuperar ou melhorar os serviços ecossistêmicos em todo o território nacional;

II - estimular a conservação dos ecossistemas, dos recursos hídricos, do solo, da biodiversidade, do patrimônio genético e do conhecimento tradicional associado;

III - valorizar econômica, social e culturalmente os serviços ecossistêmicos;

IV - evitar a perda de vegetação nativa, a fragmentação de habitats , a desertificação e outros processos de degradação dos ecossistemas nativos e fomentar a conservação sistêmica da paisagem;

V - incentivar medidas para garantir a segurança hídrica em regiões submetidas a escassez de água para consumo humano e a processos de desertificação;

VI - contribuir para a regulação do clima e a redução de emissões advindas de desmatamento e degradação florestal;

VII - reconhecer as iniciativas individuais ou coletivas que favoreçam a manutenção, a recuperação ou a melhoria dos serviços ecossistêmicos, por meio de retribuição monetária ou não monetária, prestação de serviços ou outra forma de recompensa, como o fornecimento de produtos ou equipamentos;

VIII - estimular a elaboração e a execução de projetos privados voluntários de provimento e pagamento por serviços ambientais, que envolvam iniciativas de empresas, de Organizações da Sociedade Civil de Interesse Público (Oscip) e de outras organizações não governamentais;

IX - estimular a pesquisa científica relativa à valoração dos serviços ecossistêmicos e ao desenvolvimento de metodologias de execução, de monitoramento, de verificação e de certificação de projetos de pagamento por serviços ambientais;

X - assegurar a transparência das informações relativas à prestação de serviços ambientais, permitindo a participação da sociedade;

XI - estabelecer mecanismos de gestão de dados e informações necessários à implantação e ao monitoramento de ações para a plena execução dos serviços ambientais;

XII - incentivar o setor privado a incorporar a medição das perdas ou ganhos dos serviços ecossistêmicos nas cadeias produtivas vinculadas aos seus negócios;

XIII - incentivar a criação de um mercado de serviços ambientais;

XIV - fomentar o desenvolvimento sustentável.Art. 4º Fica instituída a Política Nacional de Pagamento por Serviços Ambientais (PNPSA), cujos objetivos são:

I - orientar a atuação do poder público, das organizações da sociedade civil e dos agentes privados em relação ao pagamento por serviços ambientais, de forma a manter, recuperar ou melhorar os serviços ecossistêmicos em todo o território nacional;

II - estimular a conservação dos ecossistemas, dos recursos hídricos, do solo, da biodiversidade, do patrimônio genético e do conhecimento tradicional associado;

III - valorizar econômica, social e culturalmente os serviços ecossistêmicos;

IV - evitar a perda de vegetação nativa, a fragmentação de habitats , a desertificação e outros processos de degradação dos ecossistemas nativos e fomentar a conservação sistêmica da paisagem;

V - incentivar medidas para garantir a segurança hídrica em regiões submetidas a escassez de água para consumo humano e a processos de desertificação;

VI - contribuir para a regulação do clima e a redução de emissões advindas de desmatamento e degradação florestal;

VII - reconhecer as iniciativas individuais ou coletivas que favoreçam a manutenção, a recuperação ou a melhoria dos serviços ecossistêmicos, por meio de retribuição monetária ou não monetária, prestação de serviços ou outra forma de recompensa, como o fornecimento de produtos ou equipamentos;

VIII - estimular a elaboração e a execução de projetos privados voluntários de provimento e pagamento por serviços ambientais, que envolvam iniciativas de empresas, de Organizações da Sociedade Civil de Interesse Público (Oscip) e de outras organizações não governamentais;

IX - estimular a pesquisa científica relativa à valoração dos serviços ecossistêmicos e ao desenvolvimento de metodologias de execução, de monitoramento, de verificação e de certificação de projetos de pagamento por serviços ambientais;

X - assegurar a transparência das informações relativas à prestação de serviços ambientais, permitindo a participação da sociedade;

XI - estabelecer mecanismos de gestão de dados e informações necessários à implantação e ao monitoramento de ações para a plena execução dos serviços ambientais;

XII - incentivar o setor privado a incorporar a medição das perdas ou ganhos dos serviços ecossistêmicos nas cadeias produtivas vinculadas aos seus negócios;

XIII - incentivar a criação de um mercado de serviços ambientais;

XIV - fomentar o desenvolvimento sustentável.";;
Política Nacional para Assuntos Antárticos;Política Nacional;2022;Meio Ambiente;Meio Ambiente ;Gestão Ambiental;"Ministério da Defesa; Ministério das Relações Exteriores ";Diplomacia, integração e relações internacionais;Outros;Sem especificação;Não se aplica;Não se aplica;Decreto;11096/2022;15 de junho de 2022;Não encontrado;"Art. 4º  Os objetivos do País na Antártica são:

I - manter a condição de parte consultiva do Tratado da Antártica, por meio da promoção de substancial atividade de pesquisa científica;

II - participar dos atos internacionais, dos foros e das instituições que compõem o Sistema do Tratado da Antártica;

III - dar prosseguimento, fortalecer e ampliar o Programa Antártico Brasileiro - Proantar, com vistas a:

a) aumentar o conhecimento científico da região em todos os seus aspectos, por meio do desenvolvimento de projetos de pesquisas coordenados e realizados por instituições nacionais ou internacionais, com a participação crescente de cientistas brasileiros;

b) identificar os recursos naturais na área de atuação do Sistema do Tratado da Antártica e obter dados sobre as possibilidades de seu aproveitamento; e

c) fomentar o desenvolvimento tecnológico nacional aplicável às condições fisiográficas e ambientais na área de atuação do Tratado da Antártica e às eventuais atividades de exploração e de aproveitamento de seus recursos naturais;

IV - participar efetivamente nas discussões sobre as possibilidades de exploração e de aproveitamento de recursos naturais na área de aplicação do Tratado da Antártica; e

V - ampliar a presença brasileira no continente antártico. ";;
Política Nacional para Recuperação das Aprendizagens na Educação Básica;Política Nacional;2022;Social;Educação;Educação;Ministério da Educação ;"Crianças, Jovens, adultos inseridos ou não na rede de ensinoe comunidade escolar;;;";População em geral e Comunidade escolar ;"Art. 6º  A Política Nacional para Recuperação das Aprendizagens na Educação Básica tem como público-alvo:

I - discentes da educação básica;

II - crianças, adolescentes, jovens e adultos que não estejam inseridos nas redes públicas de ensino;

III - docentes, equipes técnicas e equipes de apoio das instituições de ensino;

IV - gestores escolares;

V - dirigentes das secretarias de educação e das redes públicas de ensino estaduais, municipais e distrital; e

VI - famílias e demais atores da comunidade escolar.";Não se aplica;Não se aplica;Decreto;11079/2022;23 de maio de 2022;Não encontrado;"Art. 5º  São objetivos da Política Nacional para Recuperação das Aprendizagens na Educação Básica:

I - desenvolver ações que possibilitem elevar a frequência escolar e reduzir os índices de evasão e de abandono escolar;

II - desenvolver estratégias de ensino e aprendizagem para o avanço do desempenho e da promoção escolar;

III - desenvolver ações que possibilitem diminuir a distorção idade-série por meio do monitoramento da trajetória escolar;

IV - promover a coordenação de ações para o enfrentamento do abandono escolar e da recuperação das aprendizagens;

V - desenvolver ações que possibilitem aumentar a resiliência dos sistemas de ensino por meio da implementação de ações e programas de ampliação da capacidade técnica e da infraestrutura das redes para responder a situações de crise;

VI - contribuir para a consecução das metas e das estratégias estabelecidas no Plano Nacional de Educação e nos planos de educação estaduais, municipais e distrital;

VII - fortalecer a formação dos profissionais do magistério no que diz respeito ao diagnóstico de lacunas nos processos de ensino de ensino e aprendizagem;

VIII - promover estratégias que permitam o acompanhamento individualizado da aprendizagem dos discentes; e

IX - incentivar a formação para o uso pedagógico de conteúdos digitais.";;
Plano Nacional de Enfrentamento ao Feminicídio;Plano Nacional;2021;Social;Segurança Pública;Segurança Pública ;"Ministério da Mulher, da Família e dos Direitos Humanos; Ministério da Justiça e Segurança Pública; Ministério da Educação; Ministério da Saúde";;;Sem especificação;Não se aplica;Não se aplica;Decreto;10906/2021;20 de dezembro de 2021;Não encontrado;"Art. 2º  São objetivos do Plano Nacional de Enfrentamento ao Feminicídio:

I - ampliar a articulação e a integração entre os atores da rede de enfrentamento à violência contra as mulheres;

II - promover ações que conscientizem a sociedade sobre a violência contra as mulheres e ampliem as possibilidades de denúncia;

III - promover a produção de dados e a gestão de informações relativas à violência contra as mulheres e ao feminicídio;

IV - fomentar a responsabilização, as ações educativas de sensibilização e prevenção e o monitoramento dos autores de violência contra as mulheres; e

V - garantir direitos e assistência integral, humanizada e não revitimizadora às mulheres em situação de violência, às vítimas indiretas e aos órfãos do feminicídio.";;
Plano Nacional de Fertilizantes 2022-2050;Plano Nacional;2022;Desenvolvimento Econômico;Infraestrutura;"Energia;Agricultura;Desenvolvimento Regional e Territorial;;";"Ministério da Economia; Ministério da Agricultura, Pecuária e Abastecimento, Ministério de Minas e Energia";Cadeias produtivas de setores econômicas incentivados e/ou regulados;Cadeias produtivas de setores econômicas incentivados e/ou regulados;Sem especificação;Não se aplica;Não se aplica;Decreto;10991/2022;11 de março de 2022;Não encontrado;"Art. 3º  São objetivos estratégicos do PNF 2022-2050:

I - estimular a pesquisa, a exploração e a transformação mineral;

II - contribuir para a construção de um ambiente de negócios estável e duradouro no País e para a atração de investimentos na exploração, na transformação, no desenvolvimento e na distribuição de fertilizantes;

III - contribuir na planificação para o investimento e a otimização de infraestrutura e logística, com vistas a atrair investimentos para a distribuição de fertilizantes no País;

IV - monitorar e avaliar o cenário tributário dos fertilizantes e promover ações destinadas ao tratamento equânime de produtos nacionais e importados;

V - desenvolver um modelo eficiente de governança para a consecução dos seus objetivos estratégicos e das suas metas;

VI - estimular um ambiente constante de negociação institucional entre as unidades federativas e os países com os quais o Brasil tenha relações comerciais que envolvam fertilizantes;

VII - estimular a capacitação de recursos humanos para atuar nas áreas de pesquisa, desenvolvimento, mineração, produção, transformação e em outras relacionadas à nutrição de plantas;

VIII - estimular a adoção de boas práticas de produção de fertilizantes e na exploração sustentável do ecossistema;

IX - estimular a divulgação ampla dos conceitos científicos do PNF 2022-2050, a fim de promover a oferta sustentável e competitiva de fertilizantes e insumos para nutrição de plantas;

X - desenvolver modelos de adesão da indústria de insumos para nutrição de plantas às estratégias de sustentabilidade ambiental e social;

XI - estimular o ambiente de inovação para produtos e tecnologias, com vistas ao desenvolvimento de novas fontes de insumos para nutrição de plantas, de maneira competitiva e sustentável; e

XII - avaliar os cenários internacionais de exploração mineral, de oferta de matéria-prima e de fertilizantes acabados, com vistas à integração da produção brasileira no mercado global.";;
Plano Nacional de Regularização Ambiental de Imóveis Rurais;Plano Nacional;2022;Meio Ambiente;Meio Ambiente ;Gestão Ambiental;Ministério da Agricultura, Pecuária e Abastecimento ;;Outros;Sem especificação;Não se aplica;Não se aplica;Decreto;11015/2022;29 de março de 2022;Não encontrado;"Art. 2º  O RegularizAgro tem como objetivos:

I - propor medidas para o cumprimento dos princípios e das diretrizes da regularização ambiental nas posses e nas propriedades rurais, com observância ao disposto na Lei nº 12.651, de 25 de maio de 2012, no Decreto nº 7.830, de 17 de outubro de 2012, e no Decreto nº 8.235, de 5 de maio de 2014;

II - coordenar as estratégias e as ações públicas e público-privadas destinadas à regularização ambiental de imóveis rurais;

III - orientar a atuação governamental para a efetividade da regularização ambiental dos imóveis rurais, em conformidade com as obrigações previstas pela Lei nº 12.651, de 2012;

IV - articular os esforços, nas esferas federal, estadual, distrital e municipal, de natureza política, estratégica, normativa e tecnológica, de forma a garantir o alinhamento institucional e organizacional necessário entre os órgãos públicos responsáveis pela execução dos Programas de Regularização Ambiental estaduais e distrital dos imóveis rurais, previstos no art. 59 da Lei nº 12.651, 2012;

V - promover e aperfeiçoar a integração de sistemas de informação e bases de dados que potencializem a aplicação do Cadastro Ambiental Rural - CAR no âmbito do planejamento do uso do solo, da gestão territorial para o desenvolvimento sustentável da agropecuária brasileira e da sua interface com outras políticas públicas;

VI - propor ações para o desenvolvimento e o aperfeiçoamento contínuos dos processos de regularização ambiental e de seus sistemas vinculados, com ênfase no Sistema Nacional de Cadastro Ambiental Rural - Sicar;

VII - executar atividades destinadas à estruturação e aos investimentos nas cadeias produtivas de espécies vegetais nativas; e

VIII - fomentar ações destinadas à recuperação ambiental produtiva dos imóveis rurais, em conformidade com a legislação e em articulação com os demais entes federativos.";;
Plano Nacional de Segurança Pública e Defesa Social 2021-2030;Plano Nacional;2021;Defesa e Segurança;Defesa Nacional;Segurança Pública ;Ministério da Justiça e Segurança Pública;Sistema de segurança pública;Sistema de segurança pública;Sem especificação;Não se aplica;Não se aplica;Decreto;10822/2021;28 de setembro de 2021;Não encontrado;"Art. 2º  São objetivos do Plano Nacional de Segurança Pública e Defesa Social 2021-2030:

I - definir ações estratégicas, metas e indicadores para a consecução dos objetivos da Política Nacional de Segurança Pública e Defesa Social;

II - determinar ciclos de implementação, monitoramento e avaliação;

III - estabelecer estratégias de governança e de gerenciamento de riscos que possibilitem a execução, o monitoramento e a avaliação; e

IV - orientar os entes federativos quanto ao diagnóstico prévio e à elaboração dos planos de segurança pública e defesa social, que deverão estar alinhados com a Política Nacional de Segurança Pública e Defesa Social e o Plano Nacional de Segurança Pública e Defesa Social 2021-2030.";;
Programa Amazônia Integrada Sustentável;Programa governamental;2021;Meio Ambiente;Meio Ambiente ;Gestão Ambiental;Ministério do Meio Ambiente ;População em geral;População em geral;Sem especificação;Não se aplica;Não se aplica;Decreto;10800/2021;17 de setembro de 2021;Não encontrado;"Art. 3º São objetivos do Programa Amazônia Integrada Sustentável: Ver tópico

I - possibilitar a expansão das redes de telecomunicações na Região Amazônica; Ver tópico

II - contribuir para a implementação de políticas públicas que dependam de conectividade; e Ver tópico

III - colaborar para a melhoria do acesso aos serviços de telecomunicações. Ver tópico";;
Programa de Apoio ao Desenvolvimento da Mineração Artesanal;Programa governamental;2022;Desenvolvimento Econômico;Infraestrutura;Energia;Ministério de Minas e Energia;Cadeias produtivas de setores econômicas incentivados e/ou regulados;Cadeias produtivas de setores econômicas incentivados e/ou regulados;Sem especificação ;Não se aplica;Não se aplica;Decreto;10966/2022;11 de fevereiro de 2022;Não encontrado;"Art. 3º  São objetivos do Programa Pró-Mape:

I - integrar e fortalecer as políticas setoriais, sociais, econômicas e ambientais para o desenvolvimento da atividade da mineração artesanal e em pequena escala no território nacional;

II - estimular as melhores práticas, a formalização da atividade e a promoção da saúde, da assistência e da dignidade das pessoas envolvidas com a mineração artesanal e em pequena escala; e

III - promover a sinergia entre as partes interessadas e envolvidas na cadeia produtiva do bem mineral.";;
Programa de Aumento da Produtividade da Frota Rodoviária no País;Programa governamental;2022;Infraestrutura;Infraestrutura;Transportes;"Ministério de Minas e Energia; Ministério da Economia; Tesouro Nacional";Cadeias produtivas de setores econômicas incentivados e/ou regulados;Cadeias produtivas de setores econômicas incentivados e/ou regulados;"§ 1º  Poderão aderir ao Renovar, na forma do regulamento:

I - beneficiários;

II - financiadores;

III - parceiros públicos e privados; e

IV - agentes financeiros operadores.";1112/2022;Não se aplica;Medida Provisória;;31 de março de 2022;Não encontrado;"Art. 3º  São objetivos do Renovar:

I - promover o desmonte ou destruição como sucata dos bens elegíveis;

II - reduzir os custos da logística, de modo a contribuir para o aumento da produtividade, da competitividade e da eficiência da logística no País e a gerar impactos positivos na competitividade dos produtos brasileiros;

III - fomentar ações, atividades, projetos e programas para inovação e para criação de novos modelos de negócios, produtos e serviços, para toda a cadeia produtiva do setor de mobilidade e logística, em conformidade com os demais objetivos do Programa; e

IV - contribuir para a melhoria da qualidade de vida dos profissionais de transporte e para o alcance das metas previstas no Plano Nacional de Redução de Mortes e Lesões no Trânsito - Pnatrans.";;
Programa de Simplificação do Microcrédito Digital para Empreendedores - SIM Digital;Programa governamental;2022;Desenvolvimento Econômico;Indústria e Comércio;Indústria e Comércio ;Ministério da Economia;Microempresas e Empresas de Pequeno Porte (Simples Nacional) inscritos em dívida ativa da União;Microempresas e Empresas de Pequeno Porte (Simples Nacional) inscritos em dívida ativa da União;Sem especificação;1107/2022;Não se aplica;Medida Provisória;;17 de março de 2022;Não encontrado;"Art. 2º  Fica instituído o SIM Digital, vinculado ao Ministério do Trabalho e Previdência, com os seguintes objetivos:

I - criar incentivos à formalização do trabalho e ao empreendedorismo;

II - incentivar a inclusão financeira e o acesso ao crédito para empreendedores excluídos do sistema financeiro; e

III - ampliar os mecanismos de garantia para a concessão de microcrédito produtivo para empreendedores, inclusive por meio do Programa Nacional de Microcrédito Produtivo Orientado – PNMPO, instituído pela Lei nº 13.636, de 20 de março de 2018.";;
Programa Emprega + Mulheres e Jovens ;Programa governamental;2022;Social;Assistência Social;"Assistência Social;Educação;Trabalho;Saúde;Cultura";Ministério do Trabalho e Previdência;Minorias sociais (negros, mulheres, comunidade LGBTQIA+ e pessoas com deficiência);Minorias sociais (negros, mulheres, comunidade LGBTQIA+ e pessoas com deficiência);Sem especificação;1116/2022;Não se aplica;Medida Provisória;;04 de maio de 2022;Não encontrado;"§ 1º  São objetivos do Selo Emprega + Mulher:

I - reconhecer as boas práticas de empregadores que visem, dentre outros:

a) ao estímulo à contratação, à ocupação de postos de liderança e à ascensão profissional de mulheres;

b) à divisão igualitária das responsabilidades parentais;

c) à promoção da cultura de igualdade entre mulheres e homens;

d) à oferta de acordos flexíveis de trabalho; e

e) à concessão de licenças para mulheres e homens que permitam o cuidado e a criação de vínculos com seus filhos; e

II - reconhecer as empresas que se destaquem pela organização, pela manutenção e pelo provimento de creches e pré-escolas para atender às necessidades de suas empregadas e de seus empregados.

§ 2º Ato do Ministro de Estado do Trabalho e Previdência disporá sobre o regulamento do Selo Programa Emprega + Mulher. ";;
Programa Mães do Brasil;Programa governamental;2022;Social;Assistência Social;"Direitos da Cidadania;;;;";Ministério da Mulher, da Família e dos Direitos Humanos;Minorias sociais (negros, mulheres, comunidade LGBTQIA+ e pessoas com deficiência);Minorias sociais (negros, mulheres, comunidade LGBTQIA+ e pessoas com deficiência);Sem especificação;Não se aplica;Não se aplica;Decreto;10987/2022;08 de março de 2022;Não encontrado;"Art. 2º  São objetivos do Programa Mães do Brasil:

I - estimular a integração de políticas públicas e fomentar ações para a promoção dos direitos relativos à gestação e à maternidade, de modo a garantir os direitos da criança nascida e por nascer, o nascimento seguro e o desenvolvimento saudável;

II - reconhecer o valor da maternidade para o bem comum, a fim de amparar as mulheres no exercício integral da maternidade, desde a concepção até o cuidado com os filhos; e

III - fomentar a inserção e a reinserção das mulheres mães no mercado de trabalho, a conciliação trabalho-família e a equidade e corresponsabilidade no lar.";;
Programa Nacional de Crescimento Verde;Programa governamental;2021;Meio Ambiente;Meio Ambiente ;Gestão Ambiental;"Ministério da Economia; Ministério do Mieo Ambiente ";População em geral;População em geral;Sem especificação;Ñão se aplica;Não se aplica;Decreto;10846 de 2021;25 de outubro de 2021;Não encontrado;"Art. 2º  São objetivos do Programa Nacional de Crescimento Verde:

I - aliar o crescimento econômico ao desenvolvimento com iniciativas sustentáveis;

II - aprimorar a gestão de recursos naturais para incentivar a produtividade, a inovação e a competitividade;

III - criar empregos verdes;

IV - promover a conservação de florestas e a proteção da biodiversidade;

V - reduzir as emissões de gases de efeito estufa, com vistas a facilitar a transição para a economia de baixo carbono;

VI - estimular a captação de recursos, públicos e privados, destinados ao desenvolvimento da economia verde, provenientes de fontes nacionais e internacionais; e

VII - incentivar a elaboração de estudos e a realização de pesquisas que contribuam para:

a) o uso sustentável dos recursos naturais;

b) a redução de emissões de gases de efeito estufa;

c) a conservação de florestas; e

d) a proteção da biodiversidade.";;
Programa Nacional de Promoção, Proteção e Defesa dos Direitos Humanos dos Profissionais de Segurança Pública e Defesa Social e dos Profissionais do Sistema Socioeducativo;Programa governamental;2022;Social;Justiça e Segurança Pública ;Segurança Pública ;"Ministério da Justiça e Segurança Pública; Ministério da Mulher, da Família e dos Direitos Humanos";Profissionais de Segurança Pública e Defesa Social ;Profissionais de Segurança Pública e Defesa Social ;Sem especificação;Não se aplica;Não se aplica;Decreto;11106/2022;29 de junho de 2022;Não encontrado;"Art. 2º  São objetivos do Programa PraViver:

I - desenvolver e consolidar diretrizes no âmbito nacional e criar mecanismos voltados à proteção dos direitos humanos:

a) dos profissionais do sistema socioeducativo e de seus familiares; e

b) dos profissionais de segurança pública e defesa social e de seus familiares; e";;
Programa Nacional de Prevenção e Combate à Fraude e Clandestinidade em Produtos de Origem Vegetal (PNFRAUDE);Programa governamental;2022;Desenvolvimento Econômico;Agropecuária e Agrária;Agricultura;Ministério da Agricultura, Pecuária e Abastecimento;Cadeias produtivas de setores econômicas incentivados e/ou regulados;Cadeias produtivas de setores econômicas incentivados e/ou regulados;Sem especificação;Não se aplica;Não se aplica;Portaria;573/2022;09 de maio de 2022;Não encontrado;"Art. 4º Este programa tem por objetivo principal mitigar a ocorrência de fraudes e clandestinidade em produtos de origem vegetal.

Art. 5º São objetivos específicos do programa:

I - melhoria da legislação voltada ao combate e prevenção a fraudes e penalização dos agentes fraudadores;

II - desenvolver mecanismos de inteligência nas ações de combate e prevenção a fraudes de produtos de origem vegetal;

III - constituir equipes de fiscalização plenamente capacitadas na execução de ações de combate e prevenção a fraudes em produtos de origem vegetal;

IV - implementação de métodos laboratoriais adequados à identificação de fraudes;

V - integração e articulação de iniciativas com demais órgãos de controle e entidades com atuação correlata ao programa; e

VI - redução da clandestinidade de estabelecimentos produtores de produtos de origem vegetal.";;
Programa Nacional de Prevenção e Controle à doença denominada Huanglongbing (HLB) - PNCHLB;Programa governamental;2021;Desenvolvimento Econômico;Agropecuária e Agrária;Agricultura;Ministério da Agricultura, Pecuária e Abastecimento;Cadeias produtivas de setores econômicas incentivados e/ou regulados;Cadeias produtivas de setores econômicas incentivados e/ou regulados;Sem especificação;Não se aplica;Não se aplica;Portaria;317/2022;21 de maio de 2021;Não encontrado ;Art. 2º O PNCHLB visa ao fortalecimento do sistema de produção agrícola de hospedeiros da praga, conforme lista oficial de Pragas Quarentenárias Presentes, estabelecendo os critérios e procedimentos para a prevenção e a contenção deCandidatusLiberibacter spp.;;
Programa Nacional de Qualidade de Produtos de Origem Vegetal (PNQUALIPOV);Programa governamental;2022;Desenvolvimento Econômico;Agropecuária e Agrária;Agricultura;Ministério da Agricultura, Pecuária e Abastecimento;Cadeias produtivas de setores econômicas incentivados e/ou regulados;Cadeias produtivas de setores econômicas incentivados e/ou regulados;;Não se aplica;Não se aplica;Portaria;572/2022;09 de maio de 2022;Não encontrado;"Art. 4º O PNQUALIPOV tem por objetivo principal a promoção da conformidade dos produtos ofertados no mercado nacional e exportados pelo Brasil.

Art. 5º São objetivos específicos do PNQUALIPOV:

I - melhorar o acesso público à legislação e às ferramentas que tratam de conformidade de estabelecimentos e produtos;

II - desenvolver mecanismos de uniformização das ações de fiscalização de estabelecimentos e de produtos;

III - constituir equipes de fiscalização e de análise plenamente capacitadas na execução de ações de avaliação e monitoramento da conformidade de estabelecimentos e produtos;

IV - integrar e articular iniciativas com demais órgãos de controle e entidades com atuação correlata ao programa; e

V - estabelecer as metas de ações de controle oficial realizadas em estabelecimentos e produtos.";;
Programa Nacional de Redução de Emissões de Metano - Metano Zero;Programa governamental;2022;Meio Ambiente;Meio Ambiente;Gestão Ambiental;Ministério do Meio Ambiente;Cadeias produtivas de setores econômicas incentivados e/ou regulados;Cadeias produtivas de setores econômicas incentivados e/ou regulados;Sem especificação ;Não se aplica;Não se aplica;Portaria;71/2022;21 de março de 2022;Não encontrado;"Art. 3º São objetivos estratégicos do Programa Metano Zero:

I - a redução das emissões de metano;

II - o uso sustentável de biogás e biometano como fontes renováveis de energia e combustível; e

III - fomentar acordos setoriais visando ao uso sustentável de biogás e biometano e à redução das emissões de metano.

Art. 4º São diretrizes do Programa Metano Zero:

I - incentivar o mercado de carbono, em especial o crédito de metano;

II - fomentar planos e acordos setoriais;

III - promover a implantação de biodigestores e sistemas de purificação de biogás e de produção e compressão de biometano;

IV - incentivar a criação de pontos e corredores verdes para abastecimento de veículos leves e pesados, tais como ônibus, caminhões e tratores agrícolas, e embarcações movidos a biometano ou híbridos com biometano;

V - estimular a implantação de tecnologias que permitam a utilização de biogás e biometano como fontes de energia e combustível renovável;

VI - promover e desenvolver pesquisas científico-tecnológicas e de inovações, e a difusão de tecnologias, processos e práticas orientados a mitigar as emissões por fontes de metano;

VII - fomentar medidas e mecanismos para estimular a redução das emissões de metano; e

VIII - promover a cooperação nacional e internacional para o financiamento, a capacitação, o desenvolvimento, a transferência e a difusão de tecnologias e de processos para a implementação de ações de redução das emissões de metano.";;
Programa Nacional de Resgate de Fauna Silvestre - Resgate+ no âmbito do Ministério do Meio Ambiente;Programa governamental;2021;Meio Ambiente;Meio Ambiente;Gestão Ambiental;Ministério do Meio Ambiente;Populações e setores econômicos diretamente afetados por alterações no meio ambiente;Populações e setores econômicos diretamente afetados por alterações no meio ambiente;Art. 8º O Programa Resgate+ terá abrangência nacional, alcançando todos os biomas brasileiros.;Não se aplica;Não se aplica;Portaria;455/2021;05 de outubro de 2022;Não encontrado ;"Art. 4º São objetivos estratégicos do Programa Resgate+:

I - coordenar e articular a preparação e disponibilização de bases operacionais, estrategicamente localizadas, com pessoal treinado e equipamento específico, para realizar as ações de afugentamento, resgate, salvamento, assistencialismo e recuperação de fauna silvestre em situação de risco e vulnerabilidade;

II - celebrar acordos e parcerias para operacionalização das atividades mencionadas no inciso I;

III - fomentar a realização de projetos de afugentamento, resgate, salvamento, assistencialismo e recuperação de fauna silvestre em todos os biomas brasileiros;

IV - realizar ações de capacitação, educação e cidadania ambiental no âmbito do Programa Resgate+; e

V - monitorar e auxiliar a elaboração de planos de pronta resposta a desastres e acidentes que afetem a fauna silvestre.";;
Programa Nacional de Segurança nas Fronteiras e Divisas - VIGIA ;Programa governamental;2021;Defesa e Segurança;Defesa Nacional;Defesa Nacional;Ministério da Justiça e Segurança Pública;Sistema Nacional de Defesa;Sistema Nacional de Defesa;Sem especificação;Não se aplica;Não se aplica;Portaria;516/2021;03 de dezembro de 2021;Não encontrado ;§ 1º O Programa VIGIA visa fortalecer a prevenção, a vigilância, a fiscalização e o controle dos crimes transnacionais, mediante atuação integrada de órgãos de segurança pública, de defesa nacional, de controle aduaneiro, de defesa agropecuária, de fiscalização, entre outras instituições federais, assim como dos Estados e dos Municípios situados na faixa de fronteira, incluídas suas águas interiores, e na costa marítima, nos termos do que dispõe a legislação vigente.;;
Programa Novos Destinos ;Programa governamental;2021;Administração;Administração Pública;"Administração;;;;";Ministério da Economia;Administração pública e servidores públicos;Administração e gestão pública;Sem especificação;Não se aplica;Não se aplica;Portaria;002/2021;12 de janeiro de 2021;Não encontrado ;"Art. 1º Fica instituído o Programa Novos Destinos, com o objetivo de
promover a destinação de mercadorias abandonadas, entregues à Fazenda Nacional ou
objeto de pena de perdimento, administradas pela Secretaria da Receita Federal do Brasil
(RFB), na forma de doação às Organizações da Sociedade Civil (OSC) de que trata o art.
2º, b, da Portaria RFB nº 3.010, de 29 de junho de 2011, no âmbito da 3ª Região
Fiscal.
";;
